pair,count
"('feel', 'like')",23
"('like', 'v')",3
"('good', 'like')",15
"('based', 'like')",6
"('free', 'like')",4
"('kind', 'like')",8
"('good', 'thanks')",4
"('life', 'reason')",11
"('feel', 'reason')",7
"('reason', 'v')",3
"('creates', 'reason')",3
"('based', 'reason')",6
"('free', 'reason')",4
"('life', 'result')",3
"('feel', 'result')",4
"('feel', 'life')",11
"('life', 'v')",4
"('based', 'life')",7
"('life', 'place')",3
"('breakfast', 'life')",4
"('kind', 'life')",4
"('feel', 'good')",7
"('based', 'feel')",4
"('feel', 'place')",3
"('feel', 'free')",3
"('feel', 'kind')",4
"('based', 'good')",4
"('free', 'good')",3
"('based', 'kind')",5
"('ever', 'one')",6
"('minute', 'one')",3
"('day', 'every')",4
"('day', 'job')",4
"('become', 'day')",4
"('day', 'dont')",4
"('day', 'like')",7
"('day', 'people')",3
"('day', 'want')",6
"('day', 'know')",6
"('day', 'feel')",3
"('day', 'grow')",3
"('day', 'different')",3
"('day', 'im')",6
"('day', 'really')",6
"('currently', 'like')",3
"('currently', 'want')",3
"('currently', 'know')",3
"('currently', 'really')",3
"('every', 'many')",3
"('dont', 'every')",4
"('every', 'like')",5
"('every', 'person')",4
"('every', 'want')",4
"('every', 'know')",5
"('every', 'new')",3
"('different', 'every')",3
"('every', 'really')",5
"('become', 'job')",5
"('job', 'like')",6
"('job', 'people')",3
"('job', 'want')",6
"('different', 'job')",3
"('job', 'really')",5
"('become', 'many')",3
"('become', 'idea')",3
"('become', 'like')",8
"('become', 'want')",16
"('become', 'different')",4
"('become', 'im')",4
"('become', 'really')",5
"('idea', 'many')",4
"('dont', 'many')",5
"('like', 'many')",3
"('many', 'people')",3
"('many', 'person')",3
"('many', 'want')",4
"('know', 'many')",4
"('feel', 'many')",3
"('many', 'really')",4
"('rather', 'want')",5
"('different', 'rather')",5
"('rather', 'really')",3
"('dont', 'idea')",4
"('idea', 'like')",4
"('idea', 'want')",6
"('idea', 'know')",6
"('feel', 'idea')",4
"('idea', 'new')",3
"('idea', 'really')",4
"('dont', 'want')",31
"('dont', 'grow')",3
"('dont', 'new')",3
"('different', 'dont')",7
"('dont', 'really')",15
"('like', 'people')",13
"('like', 'lost')",3
"('like', 'person')",12
"('like', 'want')",19
"('know', 'like')",18
"('feeling', 'like')",3
"('like', 'new')",6
"('different', 'like')",9
"('im', 'like')",14
"('like', 'really')",19
"('people', 'want')",11
"('feel', 'people')",4
"('different', 'people')",7
"('im', 'people')",5
"('people', 'really')",9
"('im', 'lost')",3
"('person', 'want')",12
"('feel', 'person')",5
"('different', 'person')",3
"('person', 'really')",6
"('know', 'want')",22
"('feel', 'want')",11
"('feeling', 'want')",4
"('grow', 'want')",3
"('new', 'want')",5
"('different', 'want')",9
"('im', 'want')",14
"('really', 'want')",21
"('kind', 'want')",6
"('feel', 'know')",7
"('know', 'new')",4
"('different', 'know')",5
"('know', 'really')",16
"('feel', 'new')",4
"('different', 'feel')",3
"('feel', 'im')",7
"('feel', 'really')",7
"('feeling', 'really')",5
"('different', 'new')",4
"('im', 'new')",3
"('new', 'really')",4
"('different', 'really')",7
"('different', 'kind')",3
"('im', 'really')",10
"('kind', 'really')",3
"('help', 'someone')",4
"('help', 'video')",5
"('video', 'word')",3
"('use', 'video')",3
"('someone', 'video')",4
"('choice', 'god')",4
"('bless', 'god')",3
"('want', 'watching')",4
"('choice', 'want')",39
"('change', 'want')",8
"('hard', 'want')",28
"('big', 'want')",3
"('choice', 'watching')",6
"('big', 'choice')",9
"('change', 'hard')",5
"('big', 'hard')",6
"('choose', 'still')",8
"('decision', 'still')",8
"('something', 'still')",3
"('still', 'thats')",3
"('cant', 'still')",4
"('make', 'still')",10
"('choice', 'still')",14
"('im', 'still')",7
"('anyway', 'choose')",3
"('choose', 'decision')",16
"('choose', 'made')",7
"('choose', 'mind')",4
"('choose', 'something')",7
"('choose', 'thats')",4
"('choose', 'tell')",3
"('cant', 'choose')",4
"('choose', 'make')",17
"('choice', 'choose')",34
"('change', 'choose')",5
"('choose', 'im')",11
"('anyway', 'choice')",3
"('make', 'necessary')",3
"('choice', 'necessary')",3
"('decision', 'made')",6
"('decision', 'mind')",4
"('decision', 'thats')",5
"('cant', 'decision')",8
"('change', 'decision')",5
"('made', 'something')",3
"('cant', 'made')",3
"('made', 'make')",7
"('im', 'made')",6
"('mind', 'something')",3
"('mind', 'thats')",4
"('cant', 'mind')",3
"('make', 'mind')",9
"('choice', 'mind')",11
"('change', 'mind')",4
"('im', 'mind')",5
"('something', 'tell')",3
"('cant', 'something')",3
"('make', 'something')",12
"('choice', 'something')",24
"('change', 'something')",5
"('make', 'thats')",5
"('choice', 'thats')",17
"('im', 'thats')",4
"('cant', 'make')",13
"('cant', 'choice')",12
"('cant', 'im')",8
"('make', 'usually')",4
"('make', 'seems')",6
"('choice', 'usually')",4
"('choice', 'seems')",8
"('change', 'im')",4
"('chang', 'ruth')",18
"('time', 'want')",17
"('answer', 'want')",5
"('also', 'want')",12
"('also', 'answer')",3
"('best', 'watched')",5
