pair,count
"('field', 'water')",4
"('always', 'water')",5
"('earth', 'water')",3
"('light', 'water')",7
"('get', 'water')",5
"('see', 'water')",3
"('maybe', 'water')",3
"('black', 'water')",7
"('force', 'water')",3
"('make', 'water')",3
"('physic', 'water')",4
"('mass', 'water')",3
"('flow', 'water')",3
"('everything', 'water')",4
"('space', 'water')",4
"('time', 'water')",5
"('back', 'water')",3
"('think', 'water')",5
"('probably', 'water')",3
"('thing', 'water')",3
"('ever', 'water')",4
"('know', 'water')",4
"('water', 'would')",6
"('gravity', 'water')",4
"('water', 'wave')",3
"('may', 'water')",3
"('air', 'hole')",6
"('air', 'point')",3
"('air', 'go')",3
"('air', 'power')",3
"('air', 'like')",4
"('air', 'get')",3
"('air', 'see')",4
"('air', 'black')",4
"('air', 'make')",3
"('air', 'everything')",4
"('air', 'space')",3
"('air', 'time')",3
"('air', 'back')",3
"('air', 'know')",3
"('air', 'gravity')",3
"('come', 'inside')",11
"('inside', 'something')",13
"('falling', 'inside')",5
"('doesnt', 'inside')",10
"('inside', 'speed')",11
"('inside', 'try')",4
"('inside', 'split')",3
"('body', 'inside')",3
"('hole', 'inside')",72
"('inside', 'within')",5
"('inside', 'point')",12
"('inside', 'smaller')",3
"('far', 'inside')",4
"('go', 'inside')",17
"('inside', 'youll')",3
"('inside', 'sucked')",6
"('every', 'inside')",9
"('inside', 'particle')",21
"('imagine', 'inside')",4
"('even', 'inside')",12
"('inside', 'quark')",3
"('energy', 'inside')",16
"('explained', 'inside')",5
"('could', 'inside')",10
"('dont', 'inside')",13
"('inside', 'take')",8
"('distance', 'inside')",5
"('inside', 'pulled')",3
"('inside', 'like')",19
"('horizon', 'inside')",21
"('inside', 'stop')",8
"('inside', 'perhaps')",6
"('inside', 'thinking')",4
"('hawking', 'inside')",9
"('going', 'inside')",6
"('fabric', 'inside')",3
"('inside', 'relative')",5
"('etc', 'inside')",4
"('always', 'inside')",4
"('earth', 'inside')",8
"('inside', 'light')",17
"('inside', 'longer')",3
"('get', 'inside')",15
"('inside', 'quite')",3
"('inside', 'start')",8
"('center', 'inside')",5
"('inside', 'thought')",7
"('hope', 'inside')",3
"('core', 'inside')",4
"('gravitation', 'inside')",3
"('inside', 'thats')",5
"('inside', 'see')",14
"('inside', 'maybe')",6
"('inside', 'perception')",3
"('black', 'inside')",73
"('cant', 'inside')",8
"('away', 'inside')",9
"('force', 'inside')",8
"('inside', 'make')",15
"('inside', 'slow')",4
"('inside', 'physic')",3
"('direction', 'inside')",4
"('inside', 'mass')",16
"('fall', 'inside')",7
"('flow', 'inside')",4
"('everything', 'inside')",17
"('inside', 'radiation')",14
"('inside', 'space')",25
"('inside', 'time')",31
"('inside', 'yet')",4
"('inside', 'sense')",7
"('due', 'inside')",5
"('explosion', 'inside')",3
"('assume', 'inside')",3
"('back', 'inside')",7
"('inside', 'well')",4
"('inside', 'mind')",3
"('inside', 'put')",3
"('inside', 'reach')",5
"('inside', 'think')",17
"('inside', 'probably')",5
"('inside', 'thing')",15
"('ever', 'inside')",7
"('inside', 'travel')",4
"('inside', 'know')",20
"('inside', 'look')",8
"('end', 'inside')",9
"('inside', 'would')",23
"('faster', 'inside')",10
"('gravity', 'inside')",14
"('high', 'inside')",4
"('inside', 'meaning')",5
"('closer', 'inside')",4
"('inside', 'need')",5
"('inside', 'wave')",5
"('inside', 'may')",6
"('come', 'something')",8
"('come', 'doesnt')",7
"('come', 'speed')",9
"('come', 'split')",3
"('come', 'hole')",40
"('come', 'within')",3
"('come', 'point')",13
"('come', 'smaller')",3
"('come', 'far')",3
"('come', 'go')",12
"('come', 'power')",3
"('come', 'sucked')",3
"('come', 'every')",10
"('come', 'particle')",14
"('come', 'even')",8
"('come', 'energy')",13
"('come', 'could')",8
"('come', 'dont')",12
"('come', 'take')",11
"('come', 'distance')",5
"('come', 'like')",22
"('come', 'horizon')",9
"('come', 'field')",3
"('come', 'stop')",4
"('come', 'perhaps')",3
"('come', 'hawking')",8
"('come', 'going')",8
"('come', 'etc')",4
"('always', 'come')",8
"('come', 'earth')",9
"('come', 'light')",10
"('come', 'longer')",3
"('come', 'get')",10
"('come', 'quite')",3
"('come', 'stretched')",3
"('come', 'start')",4
"('center', 'come')",8
"('come', 'thought')",4
"('come', 'core')",3
"('come', 'thats')",6
"('come', 'separated')",3
"('come', 'see')",9
"('come', 'maybe')",6
"('black', 'come')",38
"('cant', 'come')",8
"('away', 'come')",8
"('come', 'force')",4
"('come', 'make')",12
"('come', 'physic')",8
"('come', 'decay')",4
"('come', 'direction')",5
"('come', 'mass')",11
"('come', 'fall')",3
"('come', 'flow')",4
"('come', 'everything')",12
"('come', 'radiation')",10
"('come', 'space')",20
"('come', 'time')",23
"('come', 'yet')",5
"('come', 'due')",3
"('back', 'come')",16
"('come', 'well')",5
"('come', 'mind')",4
"('come', 'put')",7
"('come', 'said')",5
"('come', 'think')",11
"('come', 'probably')",6
"('come', 'thing')",16
"('come', 'ever')",8
"('come', 'travel')",4
"('come', 'know')",14
"('come', 'infinitely')",3
"('come', 'look')",5
"('come', 'end')",5
"('come', 'would')",17
"('come', 'faster')",3
"('come', 'gravity')",10
"('come', 'high')",5
"('come', 'meaning')",3
"('closer', 'come')",3
"('come', 'need')",5
"('come', 'wave')",4
"('come', 'may')",5
"('compressed', 'hole')",6
"('compressed', 'particle')",3
"('compressed', 'energy')",4
"('compressed', 'like')",3
"('compressed', 'perhaps')",3
"('compressed', 'maybe')",3
"('black', 'compressed')",5
"('compressed', 'space')",5
"('compressed', 'time')",5
"('compressed', 'would')",4
"('doesnt', 'something')",14
"('something', 'speed')",8
"('something', 'try')",5
"('body', 'something')",5
"('something', 'towards')",4
"('normal', 'something')",3
"('hole', 'something')",57
"('something', 'within')",8
"('point', 'something')",12
"('far', 'something')",4
"('go', 'something')",13
"('power', 'something')",4
"('something', 'sucked')",7
"('every', 'something')",8
"('particle', 'something')",13
"('imagine', 'something')",6
"('even', 'something')",27
"('energy', 'something')",13
"('explained', 'something')",3
"('could', 'something')",18
"('something', 'stretch')",3
"('dont', 'something')",24
"('something', 'take')",9
"('distance', 'something')",4
"('like', 'something')",42
"('horizon', 'something')",8
"('field', 'something')",5
"('something', 'stop')",6
"('perhaps', 'something')",4
"('something', 'stretching')",3
"('something', 'thinking')",5
"('done', 'something')",4
"('hawking', 'something')",8
"('going', 'something')",12
"('always', 'something')",11
"('earth', 'something')",10
"('light', 'something')",16
"('longer', 'something')",5
"('get', 'something')",16
"('quite', 'something')",4
"('something', 'theyre')",4
"('something', 'start')",4
"('center', 'something')",9
"('something', 'traveling')",4
"('something', 'thought')",9
"('hope', 'something')",4
"('something', 'thats')",10
"('see', 'something')",25
"('maybe', 'something')",6
"('perception', 'something')",5
"('black', 'something')",58
"('cant', 'something')",18
"('away', 'something')",8
"('force', 'something')",10
"('make', 'something')",22
"('slow', 'something')",5
"('physic', 'something')",9
"('direction', 'something')",5
"('mass', 'something')",17
