pair,count
"('back', 'hold')",3
"('hold', 'like')",3
"('hand', 'two')",4
"('hand', 'like')",3
"('like', 'tiny')",3
"('back', 'like')",8
"('like', 'two')",3
"('job', 'really')",3
"('im', 'right')",5
"('saw', 'video')",3
"('made', 'thats')",3
"('thats', 'way')",4
"('thats', 'world')",4
"('way', 'whole')",3
"('whole', 'world')",3
"('made', 'world')",3
"('way', 'world')",7
"('could', 'everything')",6
"('everything', 'must')",4
"('everything', 'make')",4
"('make', 'us')",4
"('make', 'please')",3
"('nothing', 'real')",3
"('like', 'real')",10
"('amount', 'like')",5
"('amount', 'tell')",3
"('ive', 'like')",3
"('done', 'ive')",3
"('believe', 'nothing')",3
"('like', 'nothing')",7
"('nothing', 'thing')",4
"('explanation', 'nothing')",3
"('nothing', 'tell')",4
"('go', 'nothing')",4
"('believe', 'like')",4
"('believe', 'tell')",4
"('lab', 'like')",3
"('like', 'thing')",13
"('like', 'seen')",3
"('like', 'watch')",4
"('like', 'spin')",3
"('like', 'show')",3
"('anyone', 'like')",3
"('go', 'minute')",3
"('tell', 'thing')",6
"('thing', 'watch')",3
"('done', 'thing')",4
"('go', 'watch')",3
"('go', 'spin')",3
"('done', 'go')",3
"('make', 'without')",4
"('make', 'u')",8
"('alien', 'u')",7
"('video', 'well')",4
"('human', 'would')",5
"('see', 'thought')",3
"('know', 'thought')",3
"('know', 'see')",6
"('see', 'seen')",3
"('see', 'would')",6
"('physic', 'see')",3
"('evil', 'know')",4
"('know', 'would')",9
"('know', 'physic')",5
"('know', 'unfortunately')",3
"('physic', 'would')",4
"('make', 'people')",4
"('people', 'sound')",3
"('great', 'make')",3
"('make', 'sound')",4
"('thank', 'wow')",3
"('look', 'think')",5
"('like', 'think')",12
"('like', 'look')",12
"('video', 'wow')",3
"('every', 'find')",4
"('find', 'simply')",3
"('find', 'like')",3
"('find', 'tell')",3
"('find', 'know')",4
"('find', 'way')",3
"('bottom', 'find')",3
"('find', 'make')",3
"('find', 'need')",4
"('every', 'get')",4
"('every', 'single')",3
"('every', 'like')",9
"('every', 'happens')",3
"('every', 'know')",5
"('every', 'way')",4
"('bottom', 'every')",4
"('every', 'make')",5
"('every', 'need')",4
"('change', 'every')",5
"('every', 'im')",4
"('get', 'question')",4
"('get', 'simply')",4
"('get', 'happens')",3
"('get', 'way')",6
"('get', 'large')",3
"('get', 'make')",8
"('get', 'need')",5
"('change', 'get')",4
"('answer', 'question')",7
"('answer', 'like')",5
"('answer', 'know')",4
"('answer', 'need')",4
"('like', 'single')",3
"('single', 'way')",3
"('like', 'question')",5
"('know', 'question')",4
"('question', 'way')",3
"('make', 'question')",5
"('need', 'question')",4
"('im', 'question')",3
"('like', 'simply')",7
"('simply', 'tell')",4
"('know', 'simply')",5
"('simply', 'way')",3
"('bottom', 'simply')",3
"('make', 'simply')",3
"('change', 'simply')",3
"('happens', 'like')",4
"('like', 'small')",3
"('like', 'way')",14
"('bottom', 'like')",3
"('large', 'like')",4
"('like', 'trying')",3
"('like', 'need')",5
"('change', 'like')",11
"('happens', 'know')",3
"('change', 'happens')",3
"('know', 'tell')",5
"('tell', 'way')",3
"('make', 'tell')",6
"('need', 'tell')",4
"('change', 'tell')",6
"('im', 'tell')",3
"('know', 'make')",8
"('change', 'know')",5
"('anyone', 'know')",4
"('make', 'way')",10
"('need', 'way')",7
"('change', 'way')",6
"('im', 'way')",3
"('large', 'make')",3
"('make', 'trying')",4
"('make', 'need')",9
"('change', 'make')",7
"('im', 'trying')",4
"('change', 'need')",7
"('change', 'im')",5
"('interesting', 'understanding')",3
"('need', 'understanding')",3
"('get', 'lot')",4
"('ago', 'see')",4
"('ago', 'going')",4
"('ago', 'video')",4
"('ago', 'year')",15
"('going', 'see')",4
"('get', 'see')",3
"('see', 'year')",7
"('get', 'made')",3
"('made', 'year')",3
"('get', 'going')",6
"('get', 'year')",5
"('create', 'used')",3
"('lo', 'que')",4
"('de', 'lo')",3
"('el', 'lo')",3
"('eso', 'lo')",3
"('la', 'lo')",4
"('la', 'le')",3
"('de', 'que')",4
"('como', 'que')",3
"('e', 'que')",4
"('eso', 'que')",3
"('la', 'que')",5
"('de', 'e')",3
"('de', 'tu')",3
"('de', 'el')",3
"('de', 'la')",5
"('como', 'e')",3
"('e', 'la')",3
"('el', 'la')",3
"('eso', 'la')",4
"('one', 'person')",4
"('im', 'one')",4
"('im', 'person')",3
"('believe', 'cant')",3
"('believe', 'year')",4
"('believe', 'hard')",4
"('move', 'year')",3
"('move', 'whether')",3
"('move', 'thank')",4
"('cant', 'year')",4
"('cant', 'hard')",3
"('hard', 'year')",4
"('hit', 'year')",3
"('hard', 'whether')",3
"('thank', 'whether')",3
"('hard', 'thank')",3
"('people', 'talk')",3
"('people', 'two')",3
"('hard', 'people')",5
"('talk', 'ted')",10
"('decision', 'make')",12
"('decision', 'talk')",5
"('decision', 'using')",3
"('decision', 'hard')",10
"('idea', 'make')",4
"('make', 'talk')",9
"('hard', 'make')",12
"('idea', 'talk')",3
"('idea', 'using')",4
"('idea', 'two')",3
"('hard', 'talk')",5
"('life', 'think')",5
"('make', 'think')",12
"('entire', 'think')",3
"('im', 'think')",5
"('think', 'video')",3
"('decision', 'life')",6
"('life', 'make')",7
"('good', 'life')",3
"('decision', 'im')",4
"('decision', 'video')",4
"('decision', 'good')",3
"('entire', 'make')",4
"('nothing', 'thats')",3
"('choice', 'stuck')",3
"('choice', 'ive')",3
"('found', 'two')",3
"('choice', 'decide')",3
"('decide', 'helped')",3
"('choice', 'im')",4
"('choice', 'video')",8
"('choice', 'two')",3
"('better', 'decision')",3
"('better', 'make')",5
"('better', 'im')",3
"('decision', 'thank')",3
"('less', 'make')",4
"('im', 'talk')",3
"('talk', 'thank')",4
"('time', 'wow')",3
"('regarding', 'two')",3
"('know', 'thing')",6
"('dont', 'thing')",7
"('something', 'thing')",6
"('become', 'thing')",4
"('got', 'thing')",3
"('know', 'person')",4
"('dont', 'person')",3
"('become', 'person')",6
"('hard', 'person')",5
"('dont', 'know')",22
"('become', 'know')",7
"('hard', 'know')",8
"('got', 'know')",3
"('created', 'dont')",3
"('become', 'dont')",5
"('dont', 'hard')",7
"('dont', 'got')",4
"('become', 'created')",3
"('become', 'two')",3
"('become', 'something')",4
"('hard', 'something')",4
"('alternative', 'become')",4
"('become', 'hard')",8
"('alternative', 'hard')",5
"('choice', 'hard')",25
"('hard', 'video')",5
"('hard', 'thanks')",4
"('choice', 'thanks')",4
"('god', 'time')",6
"('god', 'something')",3
"('god', 'know')",4
"('god', 'way')",4
"('god', 'hard')",3
"('give', 'time')",4
"('decision', 'give')",3
"('dont', 'give')",3
"('give', 'something')",4
"('give', 'right')",3
"('give', 'way')",3
"('give', 'good')",3
"('give', 'need')",3
"('since', 'time')",4
"('dont', 'since')",5
"('know', 'since')",5
"('left', 'since')",3
"('right', 'since')",3
"('since', 'way')",4
"('good', 'since')",3
"('need', 'since')",4
"('full', 'time')",5
"('full', 'need')",3
"('much', 'time')",7
"('dont', 'much')",4
"('much', 'something')",4
"('know', 'much')",6
"('much', 'way')",4
"('much', 'need')",3
"('artist', 'dont')",3
"('artist', 'know')",3
"('artist', 'way')",3
"('artist', 'hard')",4
"('job', 'time')",3
"('dont', 'job')",3
"('job', 'know')",3
"('job', 'way')",3
"('hard', 'job')",3
"('decision', 'time')",4
"('consequence', 'time')",3
"('dont', 'time')",8
"('left', 'time')",3
"('right', 'time')",8
"('time', 'way')",12
"('good', 'time')",4
"('decision', 'dont')",3
"('decision', 'right')",5
"('decision', 'way')",6
"('know', 'weather')",3
"('consequence', 'way')",3
"('consequence', 'need')",3
"('hard', 'watching')",3
"('dont', 'left')",3
"('dont', 'way')",5
"('dont', 'need')",6
"('dont', 'im')",5
"('right', 'something')",3
"('something', 'way')",4
"('know', 'right')",6
"('left', 'right')",3
"('left', 'way')",4
"('right', 'way')",3
"('hard', 'right')",4
"('hard', 'way')",6
"('good', 'need')",4
"('hard', 'need')",4
"('hard', 'im')",3
"('dont', 'set')",3
"('set', 'think')",3
"('must', 'set')",3
"('dont', 'start')",3
"('start', 'use')",3
"('start', 'take')",5
"('start', 'think')",3
"('start', 'stop')",3
"('big', 'take')",3
"('big', 'life')",3
"('big', 'think')",4
"('content', 'life')",3
"('dont', 'take')",10
"('dont', 'life')",5
"('dont', 'think')",12
"('dont', 'instead')",3
"('dont', 'stop')",4
"('take', 'use')",3
"('life', 'use')",3
"('think', 'use')",6
"('stop', 'use')",3
"('focus', 'life')",4
"('focus', 'think')",3
