pair,count
"('technology', 'way')",3
"('create', 'wait')",3
"('cant', 'wait')",3
"('clear', 'video')",4
"('could', 'everything')",3
"('everything', 'make')",4
"('sir', 'video')",7
"('make', 'please')",4
"('hi', 'video')",3
"('technology', 'using')",3
"('ive', 'like')",3
"('explanation', 'ive')",7
"('ive', 'seen')",8
"('done', 'ive')",3
"('lab', 'like')",4
"('like', 'thing')",5
"('cell', 'like')",6
"('anyone', 'like')",4
"('seen', 'thing')",3
"('show', 'thing')",3
"('explanation', 'seen')",6
"('explanation', 'watch')",3
"('done', 'explanation')",3
"('cell', 'tell')",3
"('cell', 'seen')",3
"('cell', 'show')",3
"('anyone', 'cell')",3
"('cell', 'go')",3
"('crispr', 'without')",4
"('make', 'u')",3
"('video', 'well')",9
"('biology', 'im')",8
"('human', 'would')",3
"('know', 'thought')",3
"('biology', 'would')",4
"('know', 'see')",3
"('know', 'would')",3
"('great', 'make')",4
"('great', 'sound')",3
"('great', 'show')",3
"('thank', 'wow')",7
"('helpful', 'yes')",5
"('excellent', 'video')",11
"('dna', 'think')",6
"('like', 'think')",3
"('biology', 'like')",5
"('dna', 'look')",3
"('like', 'look')",10
"('lab', 'look')",3
"('explained', 'simple')",4
"('right', 'simple')",3
"('video', 'wow')",5
"('perfectly', 'video')",3
"('simple', 'wow')",3
"('every', 'know')",4
"('get', 'question')",3
"('cell', 'get')",8
"('get', 'way')",4
"('ca', 'get')",6
"('get', 'make')",5
"('get', 'trying')",3
"('get', 'im')",3
"('anyone', 'get')",4
"('cell', 'single')",3
"('cell', 'grna')",4
"('grna', 'know')",3
"('ca', 'grna')",4
"('cell', 'inject')",3
"('happens', 'question')",3
"('know', 'question')",4
"('make', 'question')",5
"('change', 'question')",4
"('question', 'virus')",3
"('ca', 'simply')",3
"('like', 'small')",3
"('like', 'way')",4
"('ca', 'like')",9
"('like', 'virus')",4
"('cell', 'happens')",3
"('change', 'happens')",3
"('happens', 'virus')",3
"('know', 'tell')",4
"('im', 'tell')",3
"('cell', 'organism')",6
"('ca', 'cell')",5
"('cell', 'make')",6
"('cell', 'need')",3
"('cell', 'change')",4
"('ca', 'know')",6
"('know', 'make')",3
"('know', 'please')",4
"('anyone', 'know')",3
"('make', 'organism')",3
"('change', 'organism')",3
"('ca', 'make')",4
"('ca', 'need')",3
"('ca', 'virus')",3
"('ca', 'please')",3
"('article', 'make')",3
"('article', 'reading')",4
"('change', 'make')",4
"('make', 'virus')",3
"('need', 'trying')",3
"('im', 'trying')",4
"('need', 'virus')",3
"('im', 'reading')",3
"('dna', 'need')",4
"('need', 'wow')",3
"('get', 'lot')",3
"('ago', 'video')",3
"('ago', 'year')",8
"('crispr', 'see')",4
"('finally', 'see')",3
"('get', 'see')",3
"('crazy', 'video')",3
"('finally', 'year')",3
"('get', 'made')",3
"('made', 'video')",10
"('get', 'going')",5
"('get', 'year')",3
"('create', 'crispr')",3
"('create', 'used')",3
"('covid', 'crispr')",6
"('god', 'thank')",3
"('god', 'good')",6
"('god', 'u')",3
"('thank', 'u')",12
"('good', 'video')",15
"('u', 'video')",5
"('going', 'study')",3
"('think', 'understand')",3
"('think', 'video')",3
"('system', 'think')",4
"('crispr', 'understand')",12
